source	target	Co-exp
AT3G58730	AT5G16130	0.6370626057881889
AT3G58730	AT3G08850	0.5487148103021598
AT3G58730	AT1G59610	1.3491498959289006
AT3G58730	AT1G10290	1.0582806388177333
AT3G58730	AT5G03860	-1.1686104395788832
AT3G58730	AT4G26130	1.220432709529377
AT3G58730	AT3G02560	0.7385899821567462
AT3G58730	AT1G48830	1.3028358016431232
AT3G58730	AT5G65220	0.6638333603705621
AT3G58730	AT1G19870	0.7701167290563695
AT3G58730	AT4G31700	1.2297571237969902
AT3G58730	AT5G43830	1.7790654821988474
AT3G58730	AT1G26630	1.7335566345302125
AT3G58730	AT1G80930	0.17849424673283856
AT3G58730	AT1G20696	1.5761925593430233
AT3G58730	AT2G38040	0.49896029948586246
AT3G58730	AT5G10360	1.1034060220484776
AT3G58730	AT5G20290	0.8972571475744919
AT3G58730	AT1G75240	-0.7726717829735691
AT3G58730	AT3G18140	1.2762293684609691
AT3G58730	AT5G56030	0.9162225638904015
AT3G58730	AT3G22480	1.1721097323088727
AT3G58730	AT1G08780	0.28867698377265943
AT3G58730	AT5G23290	0.8461341049918308
AT3G58730	AT1G29990	1.2136698434473585
AT3G58730	AT2G07340	0.1270669584135278
AT3G58730	AT5G49510	1.3265219062898606
AT3G58730	AT3G18165	0.5291459254378484
AT3G58730	AT3G16640	1.390607682911617
AT3G58730	AT3G59970	1.6374807103090019
AT3G58730	AT1G68060	1.1076654623615731
AT3G58730	AT1G63660	-0.16345930468320885
AT3G58730	AT4G02520	1.43628243061401
AT3G58730	AT1G64790	-0.1323755797595466
AT3G58730	AT3G04120	1.8254450180204325
AT3G58730	AT5G03690	0.7026620049497775
AT3G58730	AT4G23680	0.15294879880118
AT3G58730	AT3G15950	-0.2681947514277411
AT3G58730	AT5G54440	1.0853814713219434
AT3G58730	AT5G38640	0.6938971445157481
AT3G58730	AT3G58700	0.9439488223004224
AT3G58730	AT1G59870	1.328277920834033
AT3G58730	AT3G27390	1.3187784217557066
AT3G58730	AT2G47000	1.0683439970938413
AT3G58730	AT3G61260	0.868312184072193
AT3G58730	AT4G25340	0.29692735318504304
AT3G58730	AT2G35880	1.1827269039329669
AT3G58730	AT1G75190	-0.6408619099585734
AT3G58730	AT1G07770	1.2096608318184392
AT3G58730	AT2G01250	0.9562396325003698
AT3G58730	AT1G74910	1.474883751963578
AT3G58730	AT4G15760	0.7273581480373356
AT3G58730	AT1G77440	1.7401755579358824
AT3G58730	AT4G35450	1.605006209237287
AT3G58730	AT1G69800	0.3030576177542542
AT3G58730	AT1G75950	1.8311654119180059
AT3G58730	AT1G02880	1.1349951967289702
AT3G58730	AT1G01910	1.399739790911725
AT3G58730	AT5G38830	1.0235303222310228
AT3G58730	AT2G37620	1.1526117424416862
AT3G58730	AT4G05400	0.21508194924706125
AT3G58730	AT2G39900	1.3614330999854316
AT3G58730	AT2G20630	1.7620676173213659
AT3G58730	AT5G57460	1.716056620675119
AT3G58730	AT3G46740	0.7923270983682158
AT3G58730	AT5G04510	0.3388776738319962
AT3G58730	AT1G09070	1.3350179684858028
AT3G58730	AT5G18420	1.1824601148648386
AT3G58730	AT4G22670	1.2695092689966494
AT3G58730	AT3G44110	1.4138984116128497
AT3G58730	AT5G18940	1.2918529610864897
AT3G58730	AT4G02510	0.12074926698956913
AT3G58730	AT5G22060	1.3511886293887332
AT3G58730	AT3G18000	0.6964180787657426
AT3G58730	AT5G24710	0.861813236815504
AT3G58730	AT2G07360	1.3074857384889658
AT3G58730	AT1G68530	1.4380337092575648
AT3G58730	AT3G47470	0.9791466097394319
AT3G58730	AT3G50590	1.2611900137570995
AT3G58730	AT1G30470	1.087687137362044
AT3G58730	AT3G14010	0.5459153189885632
AT3G58730	AT5G05170	1.708349731736647
AT3G58730	AT1G17730	1.611231622355271
AT3G58730	AT1G66680	1.3416241193110188
AT3G58730	AT4G10750	1.4736847080344702
AT3G58730	AT1G01100	1.1945373790005716
AT3G58730	AT1G01950	0.37994970018258345
AT3G58730	AT5G02490	0.9835375071727024
AT3G58730	AT1G12270	0.5278735468052371
AT3G58730	AT1G33520	0.8114358833119144
AT3G58730	AT4G15900	0.46745737560146755
AT3G58730	AT2G36170	0.5731157489178839
AT3G58730	AT2G40290	1.1150807346317095
AT3G58730	AT1G67230	-0.010356391954794056
AT3G58730	AT5G45950	-0.42789233401017773
AT3G58730	AT5G54110	1.055447852687673
AT3G58730	AT3G52140	-0.28740184218729137
AT3G58730	AT5G01870	-0.838709468210501
AT3G58730	AT4G14350	0.7915669145630113
AT3G58730	AT5G53400	1.1754839897428855
AT3G58730	AT4G18970	-0.649469050550821
AT3G58730	AT1G55670	1.0441597618094103
AT3G58730	AT5G16070	0.5988989964654048
AT3G58730	AT3G02530	1.0268315319858117
AT3G58730	AT3G18190	0.990136482390922
AT3G58730	AT1G24510	0.8104202478976362
AT3G58730	AT3G11830	0.9778725089611414
AT3G58730	AT3G03960	0.5320613745605081
AT3G58730	AT5G20890	1.1839497708773026
AT3G58730	AT3G20050	0.8074067799834052
AT3G58730	AT5G18110	0.9074953036370333
AT3G58730	AT5G26360	1.3375591379475271
AT3G58730	AT4G34570	-0.07897844380756928
AT3G58730	AT2G16370	0.11902669077400038
AT3G58730	AT3G15610	1.6911241130930978
AT3G58730	AT2G34970	1.3039086984012334
AT3G58730	AT1G72340	1.0690982969013085
AT3G58730	AT1G52730	1.2889514326414033
AT3G58730	AT5G56000	1.1343973251540256
AT3G58730	AT5G19485	0.8544791924165676
AT3G58730	AT5G52640	0.6885613631531845
AT3G58730	AT5G56010	1.1172457587746798
AT3G58730	AT3G01910	1.5427337085035346
AT3G58730	AT1G71695	-0.7223109333660712
AT3G58730	AT3G02930	0.4044426300800019
AT3G58730	AT2G24090	0.7150986234838929
AT3G58730	AT3G15730	1.7564699263034316
AT3G58730	AT2G19385	0.1783106947058692
AT3G58730	AT1G76990	0.48545996897059274
AT3G58730	AT1G31970	-0.2751490627044252
AT3G58730	AT3G22330	1.0831317750164149
AT3G58730	AT3G51600	1.3490017914004935
AT3G58730	AT1G52500	-0.7262813402293496
AT3G58730	AT3G53520	1.6463875042494212
AT3G58730	AT2G26250	0.4130480485265701
AT3G58730	AT5G14040	1.7849219256050741
AT3G58730	AT1G76400	1.0207160491670133
AT3G58730	AT5G47190	0.7817915851517411
AT3G58730	AT3G04650	0.32991318801132535
AT3G58730	AT3G12080	-0.1580443046194043
AT3G58730	AT1G62390	0.037121442273668
AT3G58730	AT2G38140	0.485135488022213
AT3G58730	AT5G50310	-0.08153339043472692
AT3G58730	AT4G19610	-0.0020214938919922354
AT3G58730	AT3G08580	1.7996406741883417
AT3G58730	AT2G32920	1.7847379430416848
AT3G58730	AT4G36020	1.0150102935077123
AT3G58730	AT1G18540	0.5545510184966562
AT3G58730	ATMG00090	-0.8027905322683478
AT3G58730	AT3G02520	1.7165612093591098
AT3G58730	AT4G28520	-1.040261074793998
AT3G58730	AT3G46040	0.9386140455228382
AT3G58730	AT5G27120	0.32770467968995665
AT3G58730	AT1G48570	-0.047437058669673106
AT3G58730	AT5G23080	0.07775173825755358
AT3G58730	AT4G11175	0.4916525178085331
AT3G58730	AT2G37180	1.3696226202504855
AT3G58730	AT3G50820	0.8744672762416119
AT3G58730	ATMG00070	-0.2471301830410886
AT3G58730	AT1G01620	1.022106968827206
AT3G58730	AT4G27150	-1.3368461334142616
AT3G58730	AT5G50850	1.7868221698498752
AT3G58730	AT3G52200	1.4677102976492222
AT3G58730	AT3G13930	1.5973207036076642
AT3G58730	AT1G54220	1.0927262791313743
AT3G58730	AT1G04560	-1.5126879706658811
AT3G58730	AT5G65110	1.304192565414013
AT3G58730	AT1G19360	1.813433769469067
AT3G58730	AT2G32060	1.0582117529905675
AT3G58730	AT1G48920	0.7319742160181549
AT3G58730	AT3G29075	1.1729435378418607
AT3G58730	AT1G73370	-0.39461416495485985
AT3G58730	AT4G28510	0.5405670520698254
AT3G58730	AT1G50920	0.3274050263417847
AT3G58730	AT3G53870	1.1353911467230346
AT3G58730	AT4G27500	1.4746119399705522
AT3G58730	AT1G67680	1.3127593790949403
AT3G58730	AT3G51880	0.6661800708826825
AT3G58730	AT5G11760	0.47446105505428715
AT3G58730	AT1G50030	0.37145076774384267
AT3G58730	AT3G02570	1.6915866527200893
AT3G58730	AT5G15230	0.43761589176103166
