protein	n
O64730	1
O64740	1
O64743	1
O64760	3
O64816	4
O64825	2
O64843	2
O64850	2
O64855	2
O64866	8
O64872	2
O64879	1
O64883	5
O64888	2
O64948	2
O65023	1
O65041	1
O65090	1
O65202	6
O65220	1
O65258	2
O65271	6
O65282	3
O65351	1
O65370	3
O65390	1
O65398	7
O65399	2
O65423	1
O65448	2
O65449	2
O65502	1
O65570	1
O65572	5
O65581	5
O65583	3
O65628	2
O65639	2
O65655	5
O65660	1
O65669	2
O65686	1
O65709	1
O65719	3
O65782	1
O65787	2
O65896	3
O65902	4
O78310	1
O80345	3
O80358	4
O80386	2
O80439	2
O80448	3
O80452	1
O80456	1
O80472	3
O80475	3
O80476	5
O80477	6
O80480	3
O80492	2
O80501	1
O80503	2
O80504	4
O80512	4
O80526	1
O80533	1
O80548	1
O80565	1
O80567	3
O80574	3
O80575	3
O80576	1
O80585	5
O80626	1
O80653	7
O80673	2
O80719	1
O80725	6
O80763	4
O80780	2
O80786	1
O80796	6
O80798	3
O80809	2
O80837	5
O80840	1
O80842	2
O80846	1
O80852	5
O80858	1
O80860	4
O80891	3
O80897	8
O80925	2
O80929	2
O80934	2
O80939	2
O80950	4
O80961	2
O80988	1
O81004	2
O81016	3
O81047	2
O81097	2
O81098	4
O81108	1
O81126	4
O81146	1
O81147	3
O81148	1
O81153	1
O81208	3
O81283	2
O81299	1
O81325	1
O81439	3
O81445	2
O81493	2
O81629	4
O81644	4
O81645	6
O81716	1
O81728	3
O81742	1
O81826	1
O81852	2
O82089	4
O82191	3
O82197	1
O82221	3
O82226	2
O82230	5
O82233	1
O82234	1
O82238	3
O82261	3
O82263	1
O82264	5
O82266	1
O82290	1
O82291	3
O82299	1
O82314	2
O82326	2
O82352	2
O82381	2
O82392	1
O82399	1
O82462	2
O82481	1
O82487	7
O82491	5
O82499	4
O82514	3
O82533	3
O82587	1
O82628	9
O82629	9
O82645	3
O82647	3
O82656	6
O82659	2
O82662	2
O82762	3
O82768	3
P02662	2
P04778	3
P05466	4
