protein	species	construct	bait	replicate	intensity	batch
NbD000350.1	Nb	35S	RAPTOR	1 MaxLFQ Intensity	-2.128057958609726	R0563
NbD000350.1	Nb	35S	RAPTOR	2 MaxLFQ Intensity	-2.0934905612327253	R0563
NbD000350.1	Nb	35S	RAPTOR	3 MaxLFQ Intensity	-2.072797455166074	R0563
NbD000370.1	Nb	35S	GFP	1 MaxLFQ Intensity	-3.271693072036148	R0563
NbD000370.1	Nb	35S	GFP	2 MaxLFQ Intensity	-3.264818500271576	R0563
NbD000370.1	Nb	35S	GFP	3 MaxLFQ Intensity	-3.319352769848024	R0563
NbD000370.1	Nb	35S	LST8	1 MaxLFQ Intensity	-0.9238087644187924	R0563
NbD000370.1	Nb	35S	LST8	2 MaxLFQ Intensity	-0.7750736458793916	R0563
NbD000370.1	Nb	35S	LST8	3 MaxLFQ Intensity	-0.6358350011298946	R0563
NbD000370.1	Nb	35S	RAPTOR	1 MaxLFQ Intensity	-3.3249223094975933	R0563
NbD000370.1	Nb	35S	RAPTOR	2 MaxLFQ Intensity	-3.2922328860278	R0563
NbD000370.1	Nb	35S	RAPTOR	3 MaxLFQ Intensity	-3.2810597323997555	R0563
NbD000403.1	Nb	35S	GFP	1 MaxLFQ Intensity	0.20910738710648333	R0563
NbD000403.1	Nb	35S	GFP	2 MaxLFQ Intensity	0.3103621169809597	R0563
NbD000403.1	Nb	35S	GFP	3 MaxLFQ Intensity	0.1521462420313077	R0563
NbD000403.1	Nb	35S	LST8	1 MaxLFQ Intensity	0.8080816315071006	R0563
NbD000403.1	Nb	35S	LST8	2 MaxLFQ Intensity	0.7411597105308995	R0563
NbD000403.1	Nb	35S	LST8	3 MaxLFQ Intensity	0.42951684619046504	R0563
NbD000403.1	Nb	35S	RAPTOR	1 MaxLFQ Intensity	-0.27404637881695515	R0563
NbD000403.1	Nb	35S	RAPTOR	2 MaxLFQ Intensity	-0.2411572093399097	R0563
NbD000403.1	Nb	35S	RAPTOR	3 MaxLFQ Intensity	-0.4404150278361398	R0563
NbD000409.1	Nb	35S	GFP	1 MaxLFQ Intensity	-3.199767660678206	R0563
NbD000409.1	Nb	35S	GFP	2 MaxLFQ Intensity	-3.1686787481768985	R0563
NbD000409.1	Nb	35S	GFP	3 MaxLFQ Intensity	-3.2534949990148996	R0563
NbD000409.1	Nb	35S	LST8	1 MaxLFQ Intensity	-1.0034378848089744	R0563
NbD000409.1	Nb	35S	LST8	2 MaxLFQ Intensity	-0.5653283450030617	R0563
NbD000409.1	Nb	35S	LST8	3 MaxLFQ Intensity	-0.953414613863357	R0563
NbD000409.1	Nb	35S	RAPTOR	1 MaxLFQ Intensity	-0.945258548128498	R0563
NbD000409.1	Nb	35S	RAPTOR	2 MaxLFQ Intensity	-0.8223297621392334	R0563
NbD000409.1	Nb	35S	RAPTOR	3 MaxLFQ Intensity	-0.9907329618393844	R0563
NbD000417.1	Nb	35S	GFP	1 MaxLFQ Intensity	-3.320146754692126	R0563
NbD000417.1	Nb	35S	GFP	2 MaxLFQ Intensity	-3.378238358941855	R0563
NbD000417.1	Nb	35S	GFP	3 MaxLFQ Intensity	-3.325652162197584	R0563
NbD000417.1	Nb	35S	LST8	1 MaxLFQ Intensity	-2.018083904843003	R0563
NbD000417.1	Nb	35S	LST8	2 MaxLFQ Intensity	-2.112876007141521	R0563
NbD000417.1	Nb	35S	LST8	3 MaxLFQ Intensity	-2.9758347885622207	R0563
NbD000417.1	Nb	35S	RAPTOR	1 MaxLFQ Intensity	-3.235066044176127	R0563
NbD000417.1	Nb	35S	RAPTOR	2 MaxLFQ Intensity	-3.3646267168789143	R0563
NbD000417.1	Nb	35S	RAPTOR	3 MaxLFQ Intensity	-3.2066451145183503	R0563
NbD000443.1	Nb	35S	GFP	1 MaxLFQ Intensity	-0.4710943972371151	R0563
NbD000443.1	Nb	35S	GFP	2 MaxLFQ Intensity	-0.8304553801299637	R0563
NbD000443.1	Nb	35S	GFP	3 MaxLFQ Intensity	-0.706124040059116	R0563
NbD000443.1	Nb	35S	LST8	1 MaxLFQ Intensity	-1.2420008644878795	R0563
NbD000443.1	Nb	35S	LST8	2 MaxLFQ Intensity	-1.1014911903527729	R0563
NbD000443.1	Nb	35S	LST8	3 MaxLFQ Intensity	-1.1744890558171477	R0563
NbD000443.1	Nb	35S	RAPTOR	1 MaxLFQ Intensity	-0.9137493785519232	R0563
NbD000443.1	Nb	35S	RAPTOR	2 MaxLFQ Intensity	-1.0080812423488317	R0563
NbD000443.1	Nb	35S	RAPTOR	3 MaxLFQ Intensity	-0.8542685756084953	R0563
NbD000462.1	Nb	35S	GFP	1 MaxLFQ Intensity	-3.277397825369451	R0563
NbD000462.1	Nb	35S	GFP	2 MaxLFQ Intensity	-3.2563227512781783	R0563
NbD000462.1	Nb	35S	GFP	3 MaxLFQ Intensity	-3.382288761172239	R0563
NbD000462.1	Nb	35S	LST8	1 MaxLFQ Intensity	-0.8250000882154236	R0563
NbD000462.1	Nb	35S	LST8	2 MaxLFQ Intensity	-0.5851548648136085	R0563
NbD000462.1	Nb	35S	LST8	3 MaxLFQ Intensity	-1.029961746839552	R0563
NbD000462.1	Nb	35S	RAPTOR	1 MaxLFQ Intensity	-3.3221822021762626	R0563
NbD000462.1	Nb	35S	RAPTOR	2 MaxLFQ Intensity	-3.267401517528594	R0563
NbD000462.1	Nb	35S	RAPTOR	3 MaxLFQ Intensity	-3.2716051970212003	R0563
NbD000463.1	Nb	35S	GFP	1 MaxLFQ Intensity	-1.0308392448445591	R0563
NbD000463.1	Nb	35S	GFP	2 MaxLFQ Intensity	-1.2169136116512322	R0563
NbD000463.1	Nb	35S	GFP	3 MaxLFQ Intensity	-0.9152123856019653	R0563
NbD000463.1	Nb	35S	LST8	1 MaxLFQ Intensity	-0.844338589620576	R0563
NbD000463.1	Nb	35S	LST8	2 MaxLFQ Intensity	-0.6742239633418972	R0563
NbD000463.1	Nb	35S	LST8	3 MaxLFQ Intensity	-0.7844155991671365	R0563
NbD000463.1	Nb	35S	RAPTOR	1 MaxLFQ Intensity	-0.8980848656258249	R0563
NbD000463.1	Nb	35S	RAPTOR	2 MaxLFQ Intensity	-0.9256250790239665	R0563
NbD000463.1	Nb	35S	RAPTOR	3 MaxLFQ Intensity	-0.963648562631648	R0563
NbD000472.1	Nb	35S	GFP	1 MaxLFQ Intensity	-3.219703074930361	R0563
NbD000472.1	Nb	35S	GFP	2 MaxLFQ Intensity	-3.268229332854439	R0563
NbD000472.1	Nb	35S	GFP	3 MaxLFQ Intensity	-3.2883690246403905	R0563
NbD000472.1	Nb	35S	LST8	1 MaxLFQ Intensity	-3.242283121408069	R0563
NbD000472.1	Nb	35S	LST8	2 MaxLFQ Intensity	-3.265833043540401	R0563
NbD000472.1	Nb	35S	LST8	3 MaxLFQ Intensity	-3.2607707154536048	R0563
NbD000472.1	Nb	35S	RAPTOR	1 MaxLFQ Intensity	-1.0465746602194486	R0563
NbD000472.1	Nb	35S	RAPTOR	2 MaxLFQ Intensity	-1.6286667236515662	R0563
NbD000472.1	Nb	35S	RAPTOR	3 MaxLFQ Intensity	-0.8407289059546734	R0563
NbD000498.1	Nb	35S	GFP	1 MaxLFQ Intensity	-2.2359209790841277	R0563
NbD000498.1	Nb	35S	GFP	2 MaxLFQ Intensity	-2.191784122090053	R0563
NbD000498.1	Nb	35S	GFP	3 MaxLFQ Intensity	-2.0399065169622745	R0563
NbD000498.1	Nb	35S	LST8	1 MaxLFQ Intensity	-1.9203643651762086	R0563
NbD000498.1	Nb	35S	LST8	2 MaxLFQ Intensity	-1.9237441830156157	R0563
NbD000498.1	Nb	35S	LST8	3 MaxLFQ Intensity	-1.9536976379895443	R0563
NbD000498.1	Nb	35S	RAPTOR	1 MaxLFQ Intensity	-2.2227655716692816	R0563
NbD000498.1	Nb	35S	RAPTOR	2 MaxLFQ Intensity	-2.2120498736724263	R0563
NbD000498.1	Nb	35S	RAPTOR	3 MaxLFQ Intensity	-2.402719709893651	R0563
NbD000510.1	Nb	35S	GFP	1 MaxLFQ Intensity	-2.8786961823316375	R0563
NbD000510.1	Nb	35S	GFP	2 MaxLFQ Intensity	-2.6330019691611937	R0563
NbD000510.1	Nb	35S	GFP	3 MaxLFQ Intensity	-2.620977146304043	R0563
NbD000510.1	Nb	35S	LST8	1 MaxLFQ Intensity	-3.348703212448806	R0563
NbD000510.1	Nb	35S	LST8	2 MaxLFQ Intensity	-3.3057619953560495	R0563
NbD000510.1	Nb	35S	LST8	3 MaxLFQ Intensity	-3.252494973300987	R0563
NbD000510.1	Nb	35S	RAPTOR	1 MaxLFQ Intensity	-1.8833736242138648	R0563
NbD000510.1	Nb	35S	RAPTOR	2 MaxLFQ Intensity	-1.8458838667100075	R0563
NbD000510.1	Nb	35S	RAPTOR	3 MaxLFQ Intensity	-1.6706083720654312	R0563
NbD000516.1	Nb	35S	GFP	1 MaxLFQ Intensity	-0.6334346147864007	R0563
NbD000516.1	Nb	35S	GFP	2 MaxLFQ Intensity	-0.6634482297704487	R0563
NbD000516.1	Nb	35S	GFP	3 MaxLFQ Intensity	-0.7323434494703314	R0563
NbD000516.1	Nb	35S	LST8	1 MaxLFQ Intensity	-0.32751871445934455	R0563
NbD000516.1	Nb	35S	LST8	2 MaxLFQ Intensity	-0.3773197243122315	R0563
NbD000516.1	Nb	35S	LST8	3 MaxLFQ Intensity	-0.34172074366206395	R0563
NbD000516.1	Nb	35S	RAPTOR	1 MaxLFQ Intensity	-3.2795274109468906	R0563
NbD000516.1	Nb	35S	RAPTOR	2 MaxLFQ Intensity	-3.2206681803802573	R0563
NbD000516.1	Nb	35S	RAPTOR	3 MaxLFQ Intensity	-3.1417920334328873	R0563
NbD000520.1	Nb	35S	GFP	1 MaxLFQ Intensity	0.009698546179014224	R0563
NbD000520.1	Nb	35S	GFP	2 MaxLFQ Intensity	-0.06997442890945185	R0563
NbD000520.1	Nb	35S	GFP	3 MaxLFQ Intensity	-0.17808945977866547	R0563
