protein	logFC	se	df	t	pval	adjPval	group1	group2	batch
NbD005555.1	0.09170902519659899	0.07568628014373789	8.865352440745554	1.2116994655098898	0.2569329273175583	0.3155514896247527	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005565.1	-1.1830714659735702	0.05473641634561678	7.667126194378805	-21.613973748361932	3.7924150007064484e-8	2.091957691946601e-7	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005585.1	-1.6469654727825231	0.06067395169950744	9.118877439855702	-27.14452292376225	4.91067202710497e-10	7.920896251662457e-9	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005598.1	0.4908186890858413	0.08530201617255026	6.719633190089856	5.753893179886927	8.05451902012333e-4	0.0014377783053100696	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005603.1	-1.9926240707006162	0.07721951145335038	8.346996047445646	-25.80467077811538	2.9536780963483482e-9	2.7154390400173706e-8	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005611.1	-0.004962947598442426	0.0719044933445806	7.370139706134967	-0.0690213833321792	0.9468081589426104	0.9603163556749256	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005613.1	0.05673412557785512	0.06385927043804057	7.745224158545734	0.8884242677482729	0.40106074911246514	0.4729320208589322	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005627.1	-0.04139010221189172	0.0637605683485858	8.69737306810988	-0.6491488906687223	0.5330069660887182	0.604742286562822	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005634.1	-1.1527037003933798	0.11077761018609282	7.533445949148542	-10.405565695603821	9.781304710916853e-6	2.49161171313435e-5	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005637.1	-0.8182724791527746	0.06477096041515026	7.544206973614249	-12.633323234796073	2.4065355159920297e-6	7.158722160753921e-6	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005638.1	-1.579240330868618	0.055824438520521616	7.124774388497749	-28.28940823628837	1.3917523259302048e-8	9.212369470009118e-8	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005649.1	0.6102620866438373	0.059919435332291236	9.118877439855702	10.184710240668112	2.7770986465301105e-6	8.109854086729761e-6	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005652.1	-1.6283015504799585	0.07335309775544058	5.861764900052985	-22.19812932657214	7.007473946119164e-7	2.3936845253257203e-6	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005663.1	2.1848174626218415	0.13053978434628088	7.208441050233	16.736793871408654	4.938830178554323e-7	1.7810083323471117e-6	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005666.1	2.050662895114725	0.1330568549950224	7.026486582093174	15.411929698709919	1.1270453089527789e-6	3.6463710647364346e-6	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005696.1	-0.3286445621656516	0.16999517276348283	8.222680856985246	-1.9332582027073224	0.08828488603826351	0.11677231226138583	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005697.1	-3.2689118665274055	0.0779792047352879	7.3778667647471075	-41.92030269639473	4.775445228679294e-10	7.815637099538126e-9	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005710.1	2.391664985297594	0.08099443002774204	7.8154909555335	29.528758761292675	2.671546560055781e-9	2.5564428405439306e-8	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005717.1	0.6865904053962826	0.17885419904324185	7.924895059020233	3.8388274307738484	0.005044457700278156	0.008009465886582374	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005718.1	0.9733082289193588	0.14048173423084007	5.4440556667905815	6.928361428967095	6.773254483065817e-4	0.0012252186651958734	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005727.1	1.6991352206357409	0.12980457729308903	7.377007516128683	13.089948413754474	2.2620379797931247e-6	6.801336267641777e-6	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005751.1	0.10564034683782457	0.05834955343800909	8.175965606547834	1.8104739558985228	0.10700845079968622	0.1401271272488271	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005755.1	-3.2186400842802354	0.06004856349551568	9.118877439855702	-53.60061751553137	1.0305811683767698e-12	1.9538986169705786e-10	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005761.1	-0.2639471141874693	0.08501563046108332	6.964137575171913	-3.104689252505085	0.017321451925751345	0.025308125312052652	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005773.1	2.8813099467003642	0.06622567973250672	8.071608075950024	43.50744240509592	7.29113378582638e-11	2.009588733016965e-9	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005779.1	-2.759594426148111	0.1091472253147911	8.182528110693013	-25.283230225863967	4.656124923183734e-9	3.8957989057649675e-8	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005795.1	-2.132271747715798	0.07588643301833567	6.541840373117974	-28.09819440585116	4.552731098100847e-8	2.444904152201272e-7	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005831.1	-0.881311669709133	0.183533821926283	6.748540549183572	-4.801903324734963	0.0021707631792359863	0.0036434898139843675	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005833.1	-2.572063531164754	0.0826225068774027	6.006357523860369	-31.130301274702845	7.199492376723109e-8	3.574147993244317e-7	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005834.1	-1.278446157039333	0.08450413939924475	8.0113020083518	-15.128799205909184	3.554948158607454e-7	1.3449202686416686e-6	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005849.1	-0.0541451691574682	0.15527677906386822	7.1973543096	-0.34870100657611713	0.7372923239430698	0.790929676681305	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005855.1	-2.33092885751905	0.062070893935594874	8.534509646251209	-37.55268709256283	8.878181638755494e-11	2.2667266035405454e-9	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005866.1	0.1997840470082073	0.2411283130446642	8.538359543427223	0.8285383183981438	0.42991628020466444	0.502581355299435	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005868.1	-0.40577610395822045	0.058827558283648905	8.27697967009939	-6.8977213366852546	1.0617402114614988e-4	2.2023469195960895e-4	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005904.1	0.9313187424528179	0.10778563527069925	8.109178483757074	8.640471804186603	2.297860780981356e-5	5.366880276751019e-5	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005908.1	0.04062892408200712	0.0527543735844941	7.8290919689773	0.7701527157162384	0.4638116912681266	0.5368680405663185	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005917.1	0.8417337131982533	0.10242604954005714	7.778711053171596	8.217965224452644	4.231223100445816e-5	9.457281046919413e-5	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005926.1	0.22039517311612322	0.05054020648647266	9.118877439855702	4.360788932967916	0.0017655286119400927	0.003007680376589709	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005935.1	-2.425455706102841	0.06048363948995272	7.413738181385532	-40.10102114482954	6.101561147128302e-10	9.101017070565873e-9	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005952.1	0.3003077431546634	0.06828805900347533	7.483055354326988	4.397661136325167	0.0026954258902924266	0.004458779295752152	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005961.1	2.7928960519746093	0.0628424091401996	7.529168594057377	44.44285459750181	2.1758516820155333e-10	4.43913484714402e-9	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD005991.1	-0.7563597478548321	0.24872024169081092	7.373898978178478	-3.041006002217857	0.017671911094729938	0.025778027675890748	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
